| sim_libid | ra         | decl       |
|      1920 |  96.561493 | -15.756282 |
|      2148 |  96.720146 | -10.721587 |
|      2382 |  96.848602 |  -5.690044 |
|       919 |  96.965202 | -40.550571 |
|      2616 |   96.97448 |  -0.674371 |
|      1464 |  97.053032 | -26.341505 |
|       372 |  97.065926 | -59.242233 |
|      1021 |  97.456223 | -37.709217 |
|       441 |  97.890587 |  -56.45187 |
|      1118 |  97.957794 |  -34.82008 |
|      1812 |  98.101486 | -18.092175 |
|      1595 |    98.1754 | -23.300648 |
|      2042 |  98.245987 | -13.065099 |
|      2274 |  98.364479 |  -8.045531 |
|      2502 |  98.481705 |  -3.055527 |
|      1234 |  98.535675 |  -31.85038 |
|       505 |  98.570168 |  -53.65612 |
|      2734 |  98.597214 |   1.953156 |
|       587 |   99.13591 | -50.859859 |
|      1365 |  99.285217 | -28.778639 |
|       680 |  99.612953 | -48.066631 |
|      1720 |  99.675636 | -20.411678 |
|      1928 |  99.794807 | -15.390047 |
|      2162 |  99.897537 | -10.381766 |
|      2388 | 100.005196 |  -5.419952 |
|       770 | 100.020668 | -45.277931 |
|      1506 | 100.035797 | -25.698246 |
|      2622 | 100.107872 |    -0.4496 |
|       857 | 100.375214 | -42.492844 |
|       957 | 100.690804 | -39.706947 |
|      1064 |   100.9841 | -36.910057 |
|      1174 | 101.284615 | -34.079128 |
|      1629 |  101.30043 | -22.717146 |
|      1845 | 101.373138 | -17.696432 |
|      2050 | 101.452263 | -12.697604 |
|      2278 | 101.547829 |  -7.766672 |
|      2514 | 101.637611 |  -2.836428 |
|      1285 | 101.666435 | -31.161858 |
|      2744 |  101.72258 |   2.141029 |
|       341 | 102.247009 | -60.981159 |
|      1405 | 102.323502 | -28.079058 |
|       398 | 102.712196 | -58.173206 |
|      1752 | 102.989624 | -19.986029 |
|      1964 | 103.034081 | -14.992759 |
|      1528 | 103.038155 | -25.018776 |
|       472 | 103.092239 | -55.362965 |
|      2170 |  103.11338 | -10.097006 |
|      2402 | 103.188553 |  -5.208587 |
|      2632 | 103.256332 |  -0.279718 |
|       547 | 103.405701 | -52.555412 |
|       631 | 103.666969 | -49.754509 |
|       710 | 103.887276 | -46.963173 |
|       802 | 104.075378 | -44.182838 |
|       895 | 104.237808 |  -41.41362 |
|       997 |  104.37973 | -38.654083 |
|      1098 | 104.506126 | -35.901306 |
|      1204 | 104.626335 | -33.146584 |
|      1863 | 104.649193 | -17.269064 |
|      1653 |  104.65876 | -22.267317 |
|      2073 | 104.706894 | -12.415537 |
|      2296 | 104.763496 |  -7.570148 |
|      1315 | 104.782066 | -30.352955 |
|      2522 | 104.812775 |  -2.688031 |
|      2756 | 104.857979 |    2.26473 |
|      1433 | 105.397705 |  -27.29273 |
|      1772 | 106.304123 | -19.534538 |
|      1986 | 106.334206 | -14.733552 |
|      2192 | 106.366058 |   -9.93039 |
|      2414 | 106.393394 |  -5.090329 |
|      2644 | 106.417229 |  -0.187357 |
|      1554 | 106.428574 | -24.589401 |
|       431 | 107.999969 | -56.872364 |
|       498 | 107.999969 | -54.054443 |
|       573 | 107.999969 |  -51.24271 |
|       653 | 107.999969 | -48.440601 |
|       738 | 107.999969 | -45.649956 |
|      1023 | 107.999969 | -37.345448 |
|      1129 | 107.999969 | -34.591869 |
|      1241 | 107.999969 | -31.829926 |
|      1454 | 107.999969 | -26.565075 |
|      1883 | 107.999969 | -17.080559 |
|      2528 | 107.999969 |   -2.63509 |
|      2761 | 107.999969 |   2.308103 |
|       366 | 108.000023 | -59.692635 |
|       830 | 108.000023 | -42.871223 |
|       923 | 108.000023 | -40.103722 |
|      1346 | 108.000023 | -28.996477 |
|      1673 | 108.000023 | -21.837942 |
|      2096 | 108.000023 | -12.307019 |
|      2299 | 108.000023 |  -7.498184 |
|      1550 | 109.571472 | -24.589401 |
|      2640 | 109.582817 |  -0.187414 |
|      2410 | 109.606651 |  -5.090329 |
|      2194 | 109.633926 |   -9.93039 |
|      1982 |  109.66584 |  -14.73361 |
|      1776 | 109.695862 | -19.534538 |
|      1435 | 110.602226 |  -27.29273 |
|      2754 | 111.142006 |    2.26473 |
|      2518 | 111.187271 |  -2.688031 |
|      1317 | 111.217926 | -30.352898 |
|      2292 | 111.236549 |  -7.570205 |
|      2081 | 111.293098 |  -12.41548 |
|      1655 | 111.341225 | -22.267317 |
|      1865 | 111.350792 | -17.269064 |
|      1206 | 111.373596 | -33.146584 |
|      1102 | 111.493805 | -35.901306 |
|       995 | 111.620316 |  -38.65414 |
|       893 | 111.762238 |  -41.41362 |
|       806 | 111.924553 | -44.182838 |
|       712 | 112.112602 | -46.963173 |
|       625 | 112.333015 | -49.754509 |
|       545 | 112.594345 | -52.555412 |
|      2630 | 112.743652 |  -0.279775 |
|      2400 |  112.81144 |  -5.208587 |
|      2168 | 112.886612 | -10.097063 |
|       476 | 112.907806 | -55.362907 |
|      1530 | 112.961838 | -25.018776 |
|      1958 | 112.965904 | -14.992816 |
|      1750 | 113.010368 | -19.986029 |
|       400 | 113.287735 | -58.173149 |
|      1409 | 113.676491 |    -28.079 |
|       335 | 113.752975 | -60.981216 |
|      2740 | 114.277466 |   2.141029 |
|      1291 | 114.333611 | -31.161798 |
|      2512 | 114.362373 |  -2.836485 |
|      2282 | 114.452156 |  -7.766672 |
|      2054 | 114.547729 | -12.697604 |
|      1849 | 114.626907 | -17.696432 |
|      1625 | 114.699615 | -22.717146 |
|      1172 | 114.715431 | -34.079128 |
|      1058 | 115.015831 | -36.910114 |
|       955 | 115.309242 | -39.706947 |
|       853 | 115.624771 | -42.492844 |
|      2620 | 115.892113 |    -0.4496 |
|      1500 | 115.964195 | -25.698303 |
|       776 | 115.979263 | -45.277874 |
|      2394 | 115.994789 |  -5.419894 |
|      2158 | 116.102509 | -10.381823 |
|      1930 | 116.205238 | -15.390047 |
|      1718 | 116.324356 | -20.411678 |
|       678 | 116.387039 | -48.066631 |
|      1363 | 116.714767 | -28.778639 |
|       585 | 116.863968 | -50.859917 |
|      2728 | 117.402893 |   1.953156 |
|       509 | 117.429932 |  -53.65612 |
|      1236 |  117.46431 |  -31.85038 |
|      2500 | 117.518227 |  -3.055527 |
|      2270 | 117.635513 |  -8.045588 |
|      2040 | 117.753998 | -13.065099 |
|      1597 | 117.824585 | -23.300648 |
|      1808 |  117.89856 | -18.092175 |
|      1122 | 118.042252 | -34.820019 |
|       437 | 118.109467 |  -56.45187 |
|      1015 | 118.543762 | -37.709217 |
|       368 | 118.934006 | -59.242233 |
|      1458 | 118.947014 | -26.341562 |
|      2608 | 119.025505 |  -0.674429 |
|       915 | 119.034843 | -40.550571 |
|      2384 | 119.151382 |  -5.690044 |
|      2150 | 119.279846 | -10.721587 |
|      1924 | 119.438438 | -15.756282 |
|      1688 | 119.494247 | -20.917028 |
|       820 | 119.555153 | -43.366547 |
|      1335 | 119.782784 | -29.407574 |
|       310 | 119.944649 | -62.021191 |
|       732 | 120.132751 |   -46.1698 |
|      2720 | 120.518921 |   1.720993 |
|      1222 | 120.637756 | -32.459148 |
|      2494 | 120.653793 |   -3.31754 |
|      2258 | 120.788727 |    -8.3606 |
|       645 | 120.792908 | -48.966576 |
|      1574 | 120.859886 | -23.881338 |
|      2034 | 120.953453 | -13.403889 |
|      1802 | 121.073662 | -18.536732 |
|      1112 | 121.388557 | -35.441681 |
|       565 | 121.563194 | -51.758312 |
|      1443 | 121.959106 | -26.923744 |
|      1005 | 122.088943 | -38.359009 |
|      2600 | 122.145775 |  -0.931457 |
|      2370 | 122.285408 |  -5.984258 |
|      2138 | 122.450363 | -11.035912 |
|       488 | 122.475685 | -54.543232 |
|      1686 | 122.574066 | -21.430054 |
|      1910 | 122.602997 | -16.152023 |
|       911 | 122.791672 |  -41.22821 |
|      1325 | 122.892059 | -29.966324 |
|       812 | 123.538177 | -44.064865 |
|       426 | 123.570381 | -57.316578 |
|      2708 | 123.629852 |   1.464079 |
|      2480 | 123.774239 |  -3.595769 |
|      1208 | 123.858864 | -32.992111 |
|      1562 | 123.879089 | -24.415852 |
|      2252 | 123.935524 |  -8.654298 |
|      2022 | 124.102203 |  -13.75941 |
|      1790 | 124.174568 | -18.988165 |
|       726 | 124.364441 | -46.879463 |
|      1090 | 124.770668 | -35.966854 |
|       359 | 124.896492 |  -60.07222 |
|      1423 | 125.009132 |  -27.43895 |
|      2594 | 125.258598 |  -1.199544 |
|       635 | 125.305923 | -49.677387 |
|      2358 | 125.414215 |  -6.262142 |
|      2132 | 125.583237 | -11.358258 |
|      1667 | 125.615326 | -21.910364 |
|       989 | 125.663567 | -38.889225 |
|      1902 | 125.709351 |  -16.55023 |
|      1303 | 126.044754 | -30.452765 |
|       559 | 126.401482 | -52.459099 |
|       887 | 126.581787 | -41.767365 |
|      2704 |  126.74147 |   1.199544 |
|      2476 |  126.89119 |  -3.863684 |
|      1540 | 126.911186 | -24.889343 |
|      2240 | 127.055168 |  -8.950059 |
|      1194 | 127.127129 |  -33.44796 |
|      2010 | 127.206253 | -14.112466 |
|      1778 | 127.233131 | -19.413874 |
|       792 | 127.566704 | -44.610321 |
|       478 | 127.696823 | -55.221443 |
|      1415 | 128.098175 | -27.883564 |
|      1084 | 128.193695 | -36.402588 |
|      2580 | 128.370163 |  -1.464136 |
|      2350 | 128.525208 |  -6.538136 |
|      1647 | 128.648727 | -22.338078 |
|       704 | 128.659271 | -47.424461 |
|      2118 | 128.682877 | -11.673557 |
|      1892 | 128.777588 | -16.924944 |
|      1295 | 129.239517 | -30.864204 |
|       412 | 129.245926 | -57.958061 |
|       981 | 129.273438 | -39.313671 |
|      2688 | 129.854233 |     0.9314 |
|       615 | 129.903915 | -50.212246 |
|      1520 | 129.966888 | -25.294655 |
|      2462 | 129.999023 |  -4.126729 |
|      2228 | 130.152054 |  -9.234647 |
|      1762 |  130.27359 | -19.793457 |
|      2003 | 130.279434 | -14.441516 |
|       876 |  130.40657 | -42.184589 |
|      1180 | 130.439743 | -33.824734 |
|       351 | 131.114395 | -60.660992 |
|      1399 | 131.224701 |  -28.25421 |
|       533 | 131.349823 | -52.971783 |
|      2576 | 131.481033 |  -1.720993 |
|      2340 | 131.623184 |  -6.798889 |
|       786 | 131.634995 |  -45.01907 |
|      1072 | 131.656937 | -36.750832 |
|      1639 | 131.690338 | -22.701847 |
|      2112 | 131.759949 | -11.963072 |
|      1877 |   131.8255 | -17.257145 |
|      1273 | 132.473053 | -31.197781 |
|       971 | 132.918304 | -39.639111 |
|      2680 | 132.974457 |   0.674371 |
|       696 | 133.004593 | -47.819229 |
|      1510 | 133.049225 | -25.626741 |
|       466 | 133.053802 | -55.697227 |
|      2454 | 133.103317 |   -4.37035 |
|      2222 | 133.234863 |  -9.490759 |
|      1737 | 133.311752 | -20.113455 |
|      1994 | 133.334671 | -14.729255 |
|      1163 |  133.79155 | -34.120152 |
|       865 |  134.26355 | -42.489864 |
|      1384 | 134.384842 | -28.547394 |
|       605 | 134.566299 | -50.583408 |
|      2558 | 134.597183 |  -1.953213 |
|      2328 |   134.7155 |  -7.027614 |
|      1615 | 134.747177 | -22.994057 |
|      2098 | 134.824081 | -12.210361 |
|      1859 | 134.866135 | -17.532394 |
|       394 | 135.081497 | -58.380329 |
|      1048 | 135.155411 | -37.011814 |
|       760 | 135.736572 | -45.302799 |
|      1265 | 135.739944 | -31.450914 |
|      2668 | 136.107849 |   0.449543 |
|      1492 |  136.15683 |  -25.88102 |
|      2438 | 136.209824 |  -4.576959 |
|      2214 |  136.31102 |  -9.702295 |
|      1728 | 136.355881 | -20.363379 |
|       529 | 136.377701 | -53.306046 |
|      1972 | 136.382233 | -14.960845 |
|       943 | 136.593475 | -39.869209 |
|      1152 | 137.175323 | -34.332493 |
|       670 | 137.387253 |  -48.07534 |
|       325 | 137.511307 | -61.011009 |
|      1373 | 137.573013 | -28.759903 |
|      2552 | 137.722488 |  -2.141029 |
|      2326 | 137.807693 |  -7.207752 |
|      1609 | 137.820129 | -23.208227 |
|      2089 |  137.88298 | -12.400583 |
|      1835 | 137.907333 | -17.738831 |
|       845 | 138.146652 |  -42.68977 |
|       456 | 138.503555 | -55.978264 |
|      1040 | 138.681519 | -37.185707 |
|      1253 | 139.032959 | -31.621197 |
|      2666 | 139.256363 |   0.279775 |
|       595 | 139.272171 | -50.801247 |
|      1478 | 139.285004 |  -26.05348 |
|      2432 | 139.322083 |  -4.728621 |
|      2204 | 139.385849 |  -9.854187 |
|      1708 | 139.408707 | -20.535322 |
|      1952 | 139.428421 | -15.123507 |
|       756 |  139.86203 | -45.469528 |
|       937 | 140.290894 | -40.006149 |
|      1140 | 140.581665 |  -34.46043 |
|      1355 | 140.781235 | -28.888647 |
|      2774 | 140.812744 |   2.688031 |
|      2542 | 140.857956 |   -2.26473 |
|      2312 | 140.902634 |  -7.323718 |
|      1587 | 140.906372 | -23.339149 |
|      2069 | 140.941193 | -12.520789 |
|      1829 | 140.952194 | -17.866886 |
|       378 | 141.016083 | -58.589233 |
|       515 | 141.453888 | -53.470657 |
|       658 | 141.793076 | -48.201107 |
|       835 | 142.047012 | -42.788605 |
|      1028 | 142.225143 | -37.272621 |
|      1251 | 142.342422 | -31.706739 |
|      2652 | 142.417191 |   0.187357 |
|      1472 | 142.426758 |  -26.14057 |
|      2422 |  142.43988 |  -4.809408 |
|      2178 | 142.461655 |   -9.93377 |
|      1700 | 142.468643 | -20.622986 |
|      1942 | 142.475861 | -15.207618 |
|       318 | 143.999939 | -61.126862 |
|       743 | 143.999939 | -45.524532 |
|       929 | 143.999939 | -40.051697 |
|      1136 |        144 | -34.503117 |
|      1578 |        144 | -23.383266 |
|      1818 |        144 | -17.910431 |
|      2060 |        144 | -12.561985 |
|      2764 |        144 |   2.635033 |
|       445 | 144.000046 |  -56.07114 |
|       578 | 144.000046 | -50.872925 |
|      1348 | 144.000046 | -28.931849 |
|      2306 | 144.000046 |  -7.363825 |
|      2535 | 144.000046 |  -2.308103 |
|      1938 | 145.524124 | -15.207675 |
|      1698 | 145.531342 | -20.623043 |
|      2180 | 145.538269 |  -9.933713 |
|      2420 | 145.560104 |  -4.809408 |
|      1468 | 145.573227 |  -26.14057 |
|      2648 |  145.58284 |   0.187357 |
|      1249 | 145.657562 | -31.706739 |
|      1030 | 145.774841 | -37.272621 |
|       833 | 145.953094 | -42.788658 |
|       662 | 146.206848 | -48.201107 |
|       384 | 146.983963 | -58.589233 |
|      1823 | 147.047791 | -17.866943 |
|      2063 | 147.058838 | -12.520847 |
|      1583 | 147.093628 | -23.339207 |
|      2308 | 147.097397 |  -7.323718 |
|      2546 | 147.142029 |  -2.264673 |
|      2768 | 147.187241 |   2.687974 |
|      1357 |  147.21875 | -28.888647 |
|      1138 |  147.41832 |  -34.46043 |
|       935 |  147.70903 | -40.006207 |
|       750 | 148.137955 | -45.469585 |
|      1948 | 148.571503 | -15.123622 |
|      1710 | 148.591217 | -20.535322 |
|      2198 | 148.614197 |  -9.854244 |
|      2436 | 148.678024 |  -4.728621 |
|      1480 |  148.71492 | -26.053423 |
|       593 | 148.727875 | -50.801247 |
|      2660 | 148.743622 |   0.279718 |
|      1259 | 148.967026 |  -31.62114 |
|      1038 | 149.318527 | -37.185764 |
|       843 |  149.85321 | -42.689823 |
|      1833 | 150.092651 | -17.738831 |
|      2083 | 150.116943 | -12.400583 |
|      1603 | 150.179855 | -23.208286 |
|      2322 | 150.192352 |  -7.207752 |
|      2548 | 150.277496 |  -2.141029 |
|      1381 | 150.427032 | -28.759789 |
|       327 | 150.488739 | -61.011009 |
|       668 | 150.612778 |  -48.07534 |
|      1148 | 150.824722 | -34.332546 |
|       945 | 151.406555 | -39.869156 |
|      1968 | 151.617752 | -14.960845 |
|       525 | 151.622223 | -53.306046 |
|      1732 | 151.644104 | -20.363379 |
|      2208 | 151.688965 |  -9.702353 |
|      2442 | 151.790207 |  -4.576901 |
|      1496 | 151.843155 |  -25.88102 |
|      2676 | 151.892136 |     0.4496 |
|      1263 | 152.259979 | -31.450914 |
|       758 | 152.263367 | -45.302799 |
|      1052 | 152.844574 | -37.011814 |
|       390 | 152.918427 | -58.380329 |
|      1853 |  153.13385 | -17.532452 |
|      2104 | 153.175858 | -12.210304 |
|      1613 | 153.252853 | -22.994057 |
|      2334 | 153.284424 |  -7.027614 |
|      2562 | 153.402863 |  -1.953156 |
|       603 | 153.433746 | -50.583408 |
|      1389 | 153.615082 | -28.547394 |
|       867 | 153.736496 | -42.489864 |
|      1158 | 154.208435 | -34.120209 |
|      1988 | 154.665314 | -14.729313 |
|      1741 | 154.688293 | -20.113398 |
|      2220 | 154.765121 |  -9.490817 |
|      2452 | 154.896683 |   -4.37035 |
|      1512 |  154.95076 | -25.626741 |
|       690 | 154.995392 | -47.819229 |
|      2684 | 155.025528 |   0.674371 |
|       965 | 155.081741 | -39.639111 |
|      1281 | 155.526993 | -31.197781 |
|      1879 | 156.174484 | -17.257145 |
|      2110 | 156.240097 | -11.963072 |
|      1637 | 156.309647 | -22.701847 |
|      1076 | 156.343109 | -36.750774 |
|       780 |  156.36499 | -45.019127 |
|      2342 |  156.37674 |  -6.798889 |
|      2568 | 156.518951 |  -1.721051 |
|       535 | 156.650162 | -52.971783 |
|      1395 | 156.775284 |  -28.25421 |
|       347 |  156.88559 | -60.660992 |
|      1184 | 157.560242 | -33.824677 |
|       878 | 157.593414 | -42.184589 |
|      2004 | 157.720612 | -14.441516 |
|      1760 | 157.726395 | -19.793457 |
|      2230 |  157.84787 |  -9.234647 |
|      2458 | 158.000961 |  -4.126786 |
|      1518 | 158.033112 | -25.294655 |
|       613 |  158.09613 | -50.212246 |
|      2690 | 158.145798 |     0.9314 |
|       977 | 158.726562 | -39.313728 |
|      1301 | 158.760529 | -30.864147 |
|      1888 | 159.222397 | -16.924944 |
|      2124 | 159.317047 | -11.673499 |
|       700 | 159.340714 | -47.424461 |
|      1645 | 159.351257 | -22.338078 |
|      2348 | 159.474777 |  -6.538136 |
|      2582 | 159.629883 |  -1.464079 |
|      1078 |  159.80629 | -36.402645 |
|      1417 |  159.90181 | -27.883564 |
|       484 | 160.303162 | -55.221386 |
|       790 | 160.433395 | -44.610378 |
|      1784 | 160.766861 | -19.413815 |
|      2008 | 160.793732 | -14.112466 |
|      1192 | 160.872849 |  -33.44796 |
|      2238 | 160.944824 |  -8.950059 |
|      1538 | 161.088867 | -24.889343 |
|      2474 | 161.108795 |  -3.863741 |
|      2698 | 161.258575 |   1.199487 |
|       891 | 161.418198 | -41.767365 |
|       553 | 161.598511 | -52.459099 |
|      1311 | 161.955231 | -30.452707 |
|      1898 | 162.290634 |  -16.55023 |
|       987 | 162.336426 | -38.889225 |
|      1663 | 162.384659 | -21.910421 |
|      2128 | 162.416809 | -11.358258 |
|      2364 |  162.58577 |  -6.262085 |
|       633 | 162.694122 | -49.677387 |
|      2588 |  162.74144 |  -1.199544 |
|      1425 | 162.990845 |  -27.43895 |
|      1092 |  163.22937 | -35.966854 |
|       724 | 163.635605 | -46.879463 |
|      1792 | 163.825424 | -18.988165 |
|      2026 | 163.897842 | -13.759352 |
|      2250 | 164.064514 |  -8.654298 |
|      1558 | 164.120834 | -24.415909 |
|      1210 | 164.141129 | -32.992111 |
|      2482 |   164.2258 |  -3.595769 |
|      2710 | 164.370132 |   1.464079 |
|       418 | 164.429611 | -57.316635 |
|       808 | 164.461746 | -44.064865 |
|      1327 |  165.10788 | -29.966324 |
|       905 | 165.208252 |  -41.22821 |
|      1914 | 165.396927 | -16.152023 |
|      1680 | 165.425919 | -21.430054 |
|       490 | 165.524246 | -54.543232 |
|      2142 | 165.549622 | -11.035912 |
|      2376 | 165.714584 |  -5.984258 |
|      2602 | 165.854263 |  -0.931457 |
|      1003 | 165.911041 | -38.359066 |
|      1449 | 166.040939 | -26.923689 |
|       569 | 166.436844 | -51.758312 |
|      1108 | 166.611374 | -35.441681 |
|      1798 | 166.926331 | -18.536732 |
|      2036 | 167.046585 | -13.403889 |
|      1576 | 167.140152 | -23.881338 |
|       647 | 167.207016 | -48.966576 |
|      2264 | 167.211319 |  -8.360543 |
|      2492 |  167.34613 |   -3.31754 |
|      1218 | 167.362228 | -32.459148 |
|      2722 | 167.481125 |   1.720993 |
|       728 | 167.867233 | -46.169857 |
|      1341 | 168.217255 | -29.407574 |
|       822 | 168.444778 | -43.366547 |
|      1690 | 168.505798 | -20.916969 |
|      1926 | 168.561554 | -15.756282 |
|      2156 | 168.720139 |  -10.72153 |
|      2378 | 168.848602 |  -5.690044 |
|       917 | 168.965195 | -40.550571 |
|      2612 | 168.974472 |  -0.674371 |
|      1462 | 169.053024 | -26.341505 |
|      1013 | 169.456284 | -37.709217 |
|       433 | 169.890518 | -56.451927 |
|      1120 | 169.957733 | -34.820019 |
|      1810 | 170.101486 | -18.092175 |
|      1599 |   170.1754 | -23.300648 |
|      2038 | 170.246048 | -13.065099 |
|      2268 | 170.364471 |  -8.045588 |
|      2506 |  170.48175 |  -3.055527 |
|      1228 | 170.535736 | -31.850437 |
|       507 | 170.570114 |  -53.65612 |
|      2730 | 170.597153 |   1.953156 |
|       583 | 171.136017 | -50.859917 |
|      1367 | 171.285156 | -28.778639 |
|       682 | 171.613007 | -48.066631 |
|      1724 | 171.675629 | -20.411678 |
|      1934 |   171.7948 | -15.390047 |
|      2160 | 171.897537 | -10.381823 |
|      2390 | 172.005203 |  -5.419894 |
|       768 | 172.020782 | -45.277931 |
|      1502 | 172.035797 | -25.698303 |
|      2624 | 172.107864 |  -0.449543 |
|       859 | 172.375214 | -42.492786 |
|       959 | 172.690796 | -39.706947 |
|      1060 | 172.984146 | -36.910114 |
|      1170 | 173.284546 | -34.079128 |
|      1627 |  173.30043 | -22.717146 |
|      1847 | 173.373138 | -17.696432 |
|      2056 | 173.452255 | -12.697547 |
|      2280 | 173.547821 |  -7.766672 |
|      2510 | 173.637604 |  -2.836485 |
|      1283 | 173.666428 | -31.161915 |
|      2738 | 173.722519 |   2.140971 |
|      1403 | 174.323502 | -28.079058 |
|       402 | 174.712189 | -58.173149 |
|      1748 |  174.98967 | -19.986029 |
|      1966 | 175.034027 | -14.992759 |
|      1536 | 175.038147 | -25.018776 |
|       470 | 175.092178 | -55.362965 |
|      2174 | 175.113373 | -10.097006 |
|      2398 | 175.188553 |  -5.208587 |
|      2636 | 175.256332 |  -0.279718 |
|       543 |  175.40564 | -52.555412 |
|       623 | 175.666916 | -49.754566 |
|       708 | 175.887329 |  -46.96323 |
|       798 | 176.075424 | -44.182896 |
|       897 | 176.237747 |  -41.41362 |
|       993 | 176.379608 |  -38.65414 |
|      1100 |  176.50618 | -35.901306 |
|      1200 | 176.626389 | -33.146584 |
|      1871 | 176.649139 | -17.269064 |
|      1657 | 176.658752 | -22.267317 |
|      2075 |  176.70694 | -12.415537 |
|      2290 | 176.763489 |  -7.570205 |
|      1319 |  176.78212 | -30.352898 |
|      2524 | 176.812775 |  -2.688031 |
|      2750 | 176.857971 |   2.264673 |
|      1437 | 177.397766 |  -27.29273 |
|      1768 | 178.304123 | -19.534595 |
|      1984 | 178.334198 |  -14.73361 |
|      2188 | 178.366119 |  -9.930447 |
|      2408 | 178.393326 |  -5.090329 |
|      2638 |  178.41716 |  -0.187414 |
|      1548 | 178.428574 | -24.589401 |
|       427 | 180.000015 | -56.872421 |
|       499 | 180.000015 | -54.054386 |
|       576 | 180.000015 |  -51.24271 |
|       654 | 180.000015 | -48.440601 |
|       741 | 180.000015 | -45.649899 |
|       831 | 180.000015 | -42.871223 |
|       926 | 180.000015 | -40.103664 |
|      1024 | 180.000015 | -37.345448 |
|      1127 | 180.000015 | -34.591869 |
|      1237 | 180.000015 | -31.829983 |
|      1342 | 180.000015 | -28.996477 |
|      1452 | 180.000015 | -26.565075 |
|      1674 | 180.000015 | -21.837942 |
|      1884 | 180.000015 | -17.080559 |
|      2092 | 180.000015 | -12.307019 |
|      2297 | 180.000015 |  -7.498184 |
|      2531 | 180.000015 |  -2.635033 |
|      2757 | 180.000015 |   2.308046 |
|      1547 | 181.571411 | -24.589401 |
|      2637 | 181.582809 |  -0.187414 |
|      2407 | 181.606644 |  -5.090329 |
|      2187 | 181.633926 |  -9.930447 |
|      1983 | 181.665833 |  -14.73361 |
|      1767 | 181.695923 | -19.534595 |
|      1436 |  182.60228 |  -27.29273 |
|      2749 | 183.142014 |   2.264673 |
|      2523 |  183.18721 |  -2.688031 |
|      1318 | 183.217865 | -30.352898 |
|      2289 | 183.236542 |  -7.570205 |
|      2074 | 183.293091 | -12.415537 |
|      1656 | 183.341217 | -22.267317 |
|      1870 | 183.350845 | -17.269064 |
|      1199 | 183.373657 | -33.146584 |
|      1099 | 183.493866 | -35.901306 |
|       992 | 183.620361 |  -38.65414 |
|       896 | 183.762238 |  -41.41362 |
|       797 | 183.924545 | -44.182896 |
|       707 | 184.112656 |  -46.96323 |
|       622 | 184.333008 | -49.754566 |
|       542 | 184.594391 | -52.555412 |
|      2635 | 184.743652 |  -0.279718 |
|      2397 | 184.811493 |  -5.208587 |
|      2173 | 184.886612 | -10.097006 |
|       469 | 184.907806 | -55.362965 |
|      1535 | 184.961899 | -25.018776 |
|      1965 | 184.965958 | -14.992759 |
|      1747 | 185.010361 | -19.986029 |
|       401 | 185.287796 | -58.173149 |
|      1402 | 185.676544 | -28.079058 |
|      2737 | 186.277466 |   2.140971 |
|      1282 | 186.333557 | -31.161915 |
|      2509 | 186.362366 |  -2.836485 |
|      2279 | 186.452148 |  -7.766672 |
|      2055 | 186.547729 | -12.697547 |
|      1846 | 186.626846 | -17.696432 |
|      1626 | 186.699554 | -22.717146 |
|      1169 | 186.715424 | -34.079128 |
|      1059 | 187.015884 | -36.910114 |
|       958 | 187.309189 | -39.706947 |
|       858 | 187.624771 | -42.492786 |
|      2623 | 187.892105 |  -0.449543 |
|      1501 | 187.964188 | -25.698303 |
|       767 | 187.979202 | -45.277931 |
|      2389 | 187.994781 |  -5.419894 |
|      2159 | 188.102448 | -10.381823 |
|      1933 |  188.20517 | -15.390047 |
|      1723 | 188.324402 | -20.411678 |
|       681 | 188.386978 | -48.066631 |
|      1366 | 188.714828 | -28.778639 |
|       582 | 188.863968 | -50.859917 |
|      2729 | 189.402832 |   1.953156 |
|       506 | 189.429871 |  -53.65612 |
|      1227 |  189.46431 | -31.850437 |
|      2505 |  189.51828 |  -3.055527 |
|      2267 | 189.635513 |  -8.045588 |
|      2037 | 189.753937 | -13.065099 |
|      1598 | 189.824585 | -23.300648 |
|      1809 | 189.898499 | -18.092175 |
|      1119 | 190.042313 | -34.820019 |
|       432 | 190.109467 | -56.451927 |
|      1012 | 190.543762 | -37.709217 |
|       375 | 190.934067 | -59.242233 |
|      1461 | 190.946945 | -26.341505 |
|      2611 | 191.025497 |  -0.674371 |
|       916 |  191.03479 | -40.550571 |
|      2377 | 191.151382 |  -5.690044 |
|      2155 | 191.279846 |  -10.72153 |
|      1925 | 191.438492 | -15.756282 |
|      1689 | 191.494247 | -20.916969 |
|       821 | 191.555206 | -43.366547 |
|      1340 | 191.782776 | -29.407574 |
|       727 | 192.132797 | -46.169857 |
|      2721 | 192.518921 |   1.720993 |
|      1217 | 192.637756 | -32.459148 |
|      2491 | 192.653854 |   -3.31754 |
|      2263 | 192.788727 |  -8.360543 |
|       646 | 192.792969 | -48.966576 |
|      1575 | 192.859833 | -23.881338 |
|      2035 | 192.953445 | -13.403889 |
|      1797 | 193.073654 | -18.536732 |
|      1107 | 193.388611 | -35.441681 |
|       568 | 193.563141 | -51.758312 |
|      1448 | 193.959045 | -26.923689 |
|      1002 | 194.088943 | -38.359066 |
|      2601 | 194.145782 |  -0.931457 |
|      2375 |   194.2854 |  -5.984258 |
|      2141 | 194.450363 | -11.035912 |
|       489 | 194.475739 | -54.543232 |
|      1679 | 194.574112 | -21.430054 |
